pokedex_number,name,generation,genus,type1,type2,base_happiness,height_m,weight_kg,hp,attack,defense,special-attack,special-defense,speed,abilities,evolves_from,pokedex_entry
277,Swellow,III,Swallow Pokémon,Normal,Flying,70,0.7,19.8,60,85,60,75,50,125,"Guts, Scrappy",Taillow,"If its two tail feathers are standing at attention, it is proof of good health. It soars elegantly in the sky."
278,Wingull,III,Seagull Pokémon,Water,Flying,70,0.6,9.5,40,30,30,55,30,85,"Keen Eye, Hydration, Rain Dish",,"It makes its nest on sheer cliffs. Riding the sea breeze, it glides up into the expansive skies."
279,Pelipper,III,Water Bird Pokémon,Water,Flying,70,1.2,28.0,60,50,100,95,70,65,"Keen Eye, Drizzle, Rain Dish",Wingull,"It is a messenger of the skies, carrying small Pokémon and eggs to safety in its bill."
280,Ralts,III,Feeling Pokémon,Psychic,Fairy,35,0.4,6.6,28,25,25,45,35,40,"Synchronize, Trace, Telepathy",,It is highly attuned to the emotions of people and Pokémon. It hides if it senses hostility.
281,Kirlia,III,Emotion Pokémon,Psychic,Fairy,35,0.8,20.2,38,35,35,65,55,50,"Synchronize, Trace, Telepathy",Ralts,"If its Trainer becomes happy, it overflows with energy, dancing joyously while spinning about."
282,Gardevoir,III,Embrace Pokémon,Psychic,Fairy,35,1.6,48.4,68,65,65,125,115,80,"Synchronize, Trace, Telepathy",Kirlia,It has the power to predict the future. Its power peaks when it is protecting its Trainer.
283,Surskit,III,Pond Skater Pokémon,Bug,Water,70,0.5,1.7,40,30,32,50,52,65,"Swift Swim, Rain Dish",,It moves as if skating on the surface of the water. It often fights with Dewpider over food.
284,Masquerain,III,Eyeball Pokémon,Bug,Flying,70,0.8,3.6,70,60,62,100,82,80,"Intimidate, Unnerve",Surskit,It intimidates enemies with the eye-like patterns on its antennae. Its four wings allow it to fly in any direction.
285,Shroomish,III,Mushroom Pokémon,Grass,,70,0.4,4.5,60,40,60,40,60,35,"Effect Spore, Poison Heal, Quick Feet",,It prefers damp places. By day it remains still in the forest shade. It releases toxic powder from its head.
286,Breloom,III,Mushroom Pokémon,Grass,Fighting,70,1.2,39.2,60,130,80,60,60,70,"Effect Spore, Poison Heal, Technician",Shroomish,Its short arms stretch when it throws punches. Its technique is equal to that of pro boxers.
287,Slakoth,III,Slacker Pokémon,Normal,,70,0.8,24.0,60,60,60,35,35,30,Truant,,The way Slakoth lolls around makes anyone who watches it feel like doing the same.
288,Vigoroth,III,Wild Monkey Pokémon,Normal,,70,1.4,46.5,80,80,80,55,55,90,Vital Spirit,Slakoth,Its heartbeat is fast and its blood so agitated that it can’t sit still for one second.
289,Slaking,III,Lazy Pokémon,Normal,,70,2.0,130.5,150,160,100,95,65,100,Truant,Vigoroth,The world’s laziest Pokémon. It moves to another spot when there’s no food left within its reach.
290,Nincada,III,Trainee Pokémon,Bug,Ground,70,0.5,5.5,31,45,90,30,30,40,"Compound Eyes, Run Away",,"Because it lived almost entirely underground, it is nearly blind. It uses its antennae instead."
291,Ninjask,III,Ninja Pokémon,Bug,Flying,70,0.8,12.0,61,90,45,50,50,160,"Speed Boost, Infiltrator",Nincada,Its cry leaves a lasting headache if heard for too long. It moves so quickly that it is almost invisible.
292,Shedinja,III,Shed Pokémon,Bug,Ghost,70,0.8,1.2,1,90,45,30,30,40,Wonder Guard,Nincada,A most peculiar Pokémon that somehow appears in a Poké Ball when a Nincada evolves.
293,Whismur,III,Whisper Pokémon,Normal,,70,0.6,16.3,64,51,23,51,23,28,"Soundproof, Rattled",,"The cry of a Whismur is over 100 decibels. If you’re close to a Whismur when it lets out a cry, you’ll be stuck with an all-day headache."
294,Loudred,III,Big Voice Pokémon,Normal,,70,1.0,40.5,84,71,43,71,43,48,"Soundproof, Scrappy",Whismur,"Loudred’s ears serve as speakers, and they can put out sound waves powerful enough to blow away a house."
295,Exploud,III,Loud Noise Pokémon,Normal,,70,1.5,84.0,104,91,63,91,73,68,"Soundproof, Scrappy",Loudred,"In the past, people would use the loud voices of these Pokémon as a means of communication between distant cities."
296,Makuhita,III,Guts Pokémon,Fighting,,70,1.0,86.4,72,60,30,20,30,25,"Thick Fat, Guts, Sheer Force",,"It was originally brought in from another region, but now Makuhita from Alola are more famous."
297,Hariyama,III,Arm Thrust Pokémon,Fighting,,70,2.3,253.8,144,120,60,40,60,50,"Thick Fat, Guts, Sheer Force",Makuhita,"It is known for its fantastic strength, but as it grows older, it focuses more on training Makuhita."
298,Azurill,III,Polka Dot Pokémon,Normal,Fairy,70,0.2,2.0,50,20,40,20,40,20,"Thick Fat, Huge Power, Sap Sipper",,"The ball on Azurill’s tail bounces like a rubber ball, and it’s full of the nutrients the Pokémon needs to grow."
299,Nosepass,III,Compass Pokémon,Rock,,70,1.0,97.0,30,45,135,45,90,30,"Sturdy, Magnet Pull, Sand Force",,"The magnet in Nosepass’s nose provides an unerring compass, making it an excellent partner for Trainers going on a journey."
300,Skitty,III,Kitten Pokémon,Normal,,70,0.6,11.0,50,45,45,35,35,50,"Cute Charm, Normalize, Wonder Skin",,"It can’t stop itself from chasing moving things, and it runs in a circle, chasing its own tail."
301,Delcatty,III,Prim Pokémon,Normal,,70,1.1,32.6,70,65,65,55,55,90,"Cute Charm, Normalize, Wonder Skin",Skitty,It dislikes dirty places. It often searches for a comfortable place in which to groom itself.
302,Sableye,III,Darkness Pokémon,Dark,Ghost,35,0.5,11.0,50,75,75,65,65,50,"Keen Eye, Stall, Prankster",,"This Pokémon is feared. When its gemstone eyes begin to glow with a sinister shine, it’s believed that Sableye will steal people’s spirits away."
303,Mawile,III,Deceiver Pokémon,Steel,Fairy,70,0.6,11.5,50,85,85,55,55,50,"Hyper Cutter, Intimidate, Sheer Force",,"It uses its docile-looking face to lull foes into complacency, then bites with its huge, relentless jaws."
304,Aron,III,Iron Armor Pokémon,Steel,Rock,35,0.4,60.0,50,70,100,40,40,30,"Sturdy, Rock Head, Heavy Metal",,It eats iron ore—and sometimes railroad tracks— to build up the steel armor that protects its body.
305,Lairon,III,Iron Armor Pokémon,Steel,Rock,35,0.9,120.0,60,90,140,50,50,40,"Sturdy, Rock Head, Heavy Metal",Aron,"Lairon live in mountains brimming with spring water and iron ore, so these Pokémon often came into conflict with humans in the past."
306,Aggron,III,Iron Armor Pokémon,Steel,Rock,35,2.1,360.0,70,110,180,60,60,50,"Sturdy, Rock Head, Heavy Metal",Lairon,Aggron has a horn sharp enough to perforate thick iron sheets. It brings down its opponents by ramming into them horn first.
307,Meditite,III,Meditate Pokémon,Fighting,Psychic,70,0.6,11.2,30,40,55,40,55,60,"Pure Power, Telepathy",,It always trains deep in mountains. It levitates when it heightens its spiritual power through meditation.
308,Medicham,III,Meditate Pokémon,Fighting,Psychic,70,1.3,31.5,60,60,75,60,75,80,"Pure Power, Telepathy",Meditite,"It elegantly avoids attacks with dance-like steps, then launches a devastating blow in the same motion."
309,Electrike,III,Lightning Pokémon,Electric,,70,0.6,15.2,40,45,40,65,40,65,"Static, Lightning Rod, Minus",,It stores static electricity in its fur for discharging. It gives off sparks if a storm approaches.
310,Manectric,III,Discharge Pokémon,Electric,,70,1.5,40.2,70,75,60,105,60,105,"Static, Lightning Rod, Minus",Electrike,"It stimulates its own muscles with electricity, so it can move quickly. It eases its soreness with electricity, too, so it can recover quickly as well."
311,Plusle,III,Cheering Pokémon,Electric,,70,0.4,4.2,60,50,40,85,75,95,"Plus, Lightning Rod",,It cheers on friends with pom-poms made of sparks. It drains power from telephone poles.
312,Minun,III,Cheering Pokémon,Electric,,70,0.4,4.2,60,40,50,75,85,95,"Minus, Volt Absorb",,Exposure to electricity from Minun and Plusle promotes blood circulation and relaxes muscles.
313,Volbeat,III,Firefly Pokémon,Bug,,70,0.7,17.7,65,73,75,47,85,85,"Illuminate, Swarm, Prankster",,It communicates with others by lighting up its rear at night. It loves Illumise’s sweet aroma.
314,Illumise,III,Firefly Pokémon,Bug,,70,0.6,17.7,65,47,75,73,85,85,"Oblivious, Tinted Lens, Prankster",,"Its fragrance attracts a swarm of Volbeat, so they draw over 200 patterns in the night sky."
315,Roselia,III,Thorn Pokémon,Grass,Poison,70,0.3,2.0,50,60,45,100,80,65,"Natural Cure, Poison Point, Leaf Guard",Budew,"Its flowers give off a relaxing fragrance. The stronger its aroma, the healthier the Roselia is."
316,Gulpin,III,Stomach Pokémon,Poison,,70,0.4,10.3,70,43,53,43,53,40,"Liquid Ooze, Sticky Hold, Gluttony",,"It has a small heart and brain. Its stomach comprises most of its body, with enzymes to dissolve anything."
317,Swalot,III,Poison Bag Pokémon,Poison,,70,1.7,80.0,100,73,83,73,83,55,"Liquid Ooze, Sticky Hold, Gluttony",Gulpin,It swallows anything whole. It sweats toxic fluids from its follicles to douse foes.
318,Carvanha,III,Savage Pokémon,Water,Dark,35,0.8,20.8,45,90,20,65,20,65,"Rough Skin, Speed Boost",,"It won’t attack while it’s alone—not even if it spots prey. Instead, it waits for other Carvanha to join it, and then the Pokémon attack as a group."
319,Sharpedo,III,Brutal Pokémon,Water,Dark,35,1.8,88.8,70,120,40,95,40,95,"Rough Skin, Speed Boost",Carvanha,"As soon as it catches the scent of prey, Sharpedo will jet seawater from its backside, hurtling toward the target to attack at 75 mph."
320,Wailmer,III,Ball Whale Pokémon,Water,,70,2.0,130.0,130,70,35,70,35,60,"Water Veil, Oblivious, Pressure",,It shows off by spraying jets of seawater from the nostrils above its eyes. It eats a solid ton of Wishiwashi every day.
321,Wailord,III,Float Whale Pokémon,Water,,70,14.5,398.0,170,90,45,90,45,60,"Water Veil, Oblivious, Pressure",Wailmer,It can sometimes knock out opponents with the shock created by breaching and crashing its big body onto the water.
322,Numel,III,Numb Pokémon,Fire,Ground,70,0.7,24.0,60,60,40,65,45,35,"Oblivious, Simple, Own Tempo",,"Its humped back stores intensely hot magma. In rain, the magma cools, slowing its movement."
323,Camerupt,III,Eruption Pokémon,Fire,Ground,70,1.9,220.0,70,100,70,105,75,40,"Magma Armor, Solid Rock, Anger Point",Numel,The volcanoes on its back have a major eruption every 10 years--or whenever it becomes really angry.
324,Torkoal,III,Coal Pokémon,Fire,,70,0.5,80.4,70,85,140,85,70,20,"White Smoke, Drought, Shell Armor",,It burns coal inside its shell for energy. It blows out black soot if it is endangered.
325,Spoink,III,Bounce Pokémon,Psychic,,70,0.7,30.6,60,25,35,70,80,60,"Thick Fat, Own Tempo, Gluttony",,"It bounces constantly, using its tail like a spring. The shock of bouncing keeps its heart beating."
326,Grumpig,III,Manipulate Pokémon,Psychic,,70,0.9,71.5,80,45,65,90,110,80,"Thick Fat, Own Tempo, Gluttony",Spoink,It uses black pearls to amplify its psychic power. It does a strange dance to control foes’ minds.
327,Spinda,III,Spot Panda Pokémon,Normal,,70,1.1,5.0,60,60,60,60,60,60,"Own Tempo, Tangled Feet, Contrary",,"Its steps are staggering and unsteady, but Spinda thinks it’s walking in a straight line."
328,Trapinch,III,Ant Pit Pokémon,Ground,,70,0.7,15.0,45,100,45,45,45,10,"Hyper Cutter, Arena Trap, Sheer Force",,"Its nest is a sloped, bowl-like pit in the desert. Once something has fallen in, there is no escape."
329,Vibrava,III,Vibration Pokémon,Ground,Dragon,70,1.1,15.3,50,70,50,50,50,70,Levitate,Trapinch,The ultrasonic waves it generates by rubbing its two wings together cause severe headaches.
330,Flygon,III,Mystic Pokémon,Ground,Dragon,70,2.0,82.0,80,100,80,80,80,100,Levitate,Vibrava,This Pokémon hides in the heart of sandstorms it creates and seldom appears where people can see it.
331,Cacnea,III,Cactus Pokémon,Grass,,35,0.4,51.3,50,85,40,85,40,35,"Sand Veil, Water Absorb",,It lives in arid locations. Its yellow flowers bloom once a year.
332,Cacturne,III,Scarecrow Pokémon,Grass,Dark,35,1.3,77.4,70,115,60,115,60,55,"Sand Veil, Water Absorb",Cacnea,"It becomes active at night, seeking prey that is exhausted from the day’s desert heat."
333,Swablu,III,Cotton Bird Pokémon,Normal,Flying,70,0.4,1.2,45,40,60,40,75,50,"Natural Cure, Cloud Nine",,"Its cottony wings are full of air, making them light and fluffy to the touch. Swablu takes diligent care of its wings."
334,Altaria,III,Humming Pokémon,Dragon,Flying,70,1.1,20.6,75,70,90,70,105,80,"Natural Cure, Cloud Nine",Swablu,"As it flies in a calm and relaxed manner, Altaria performs a humming song that would enrapture any audience."
335,Zangoose,III,Cat Ferret Pokémon,Normal,,70,1.3,40.3,73,115,60,60,60,90,"Immunity, Toxic Boost",,It has feuded with Seviper for many generations. Its sharp claws are its biggest weapons.
336,Seviper,III,Fang Snake Pokémon,Poison,,70,2.7,52.5,73,100,60,100,60,65,"Shed Skin, Infiltrator",,"In battle, it uses its bladed tail to counter any Zangoose. It secretes a deadly venom in its tail."
337,Lunatone,III,Meteorite Pokémon,Rock,Psychic,70,1.0,168.0,90,55,65,95,85,70,Levitate,,The phase of the moon apparently has some effect on its power. It’s active on the night of a full moon.
338,Solrock,III,Meteorite Pokémon,Rock,Psychic,70,1.2,154.0,90,95,85,55,65,70,Levitate,,"When it rotates itself, it gives off light similar to the sun, thus blinding its foes."
339,Barboach,III,Whiskers Pokémon,Water,Ground,70,0.4,1.9,50,48,43,46,41,60,"Oblivious, Anticipation, Hydration",,"Its slimy body is hard to grasp. In one region, it is said to have been born from hardened mud."
340,Whiscash,III,Whiskers Pokémon,Water,Ground,70,0.9,23.6,110,78,73,76,71,60,"Oblivious, Anticipation, Hydration",Barboach,"It makes its nest at the bottom of swamps. It will eat anything—if it is alive, Whiscash will eat it."
341,Corphish,III,Ruffian Pokémon,Water,,70,0.6,11.5,43,80,65,50,35,35,"Hyper Cutter, Shell Armor, Adaptability",,"No matter how dirty the water in the river, it will adapt and thrive. It has a strong will to survive."
342,Crawdaunt,III,Rogue Pokémon,Water,Dark,70,1.1,32.8,63,120,85,90,55,55,"Hyper Cutter, Shell Armor, Adaptability",Corphish,A rough customer that wildly flails its giant claws. It is said to be extremely hard to raise.
343,Baltoy,III,Clay Doll Pokémon,Ground,Psychic,70,0.5,21.5,40,40,55,40,70,55,Levitate,,It moves while spinning around on its single foot. Some Baltoy have been seen spinning on their heads.
344,Claydol,III,Clay Doll Pokémon,Ground,Psychic,70,1.5,108.0,60,70,105,70,120,75,Levitate,Baltoy,"This mysterious Pokémon started life as an ancient clay figurine made over 20,000 years ago."
345,Lileep,III,Sea Lily Pokémon,Rock,Grass,70,1.0,23.8,66,41,77,61,87,23,"Suction Cups, Storm Drain",,"This Pokémon was restored from a fossil. Lileep once lived in warm seas that existed approximately 100,000,000 years ago."
346,Cradily,III,Barnacle Pokémon,Rock,Grass,70,1.5,60.4,86,81,97,81,107,43,"Suction Cups, Storm Drain",Lileep,"It has short legs and can’t walk very fast, but its neck and tentacles can extend to over three times their usual length to nab distant prey."
347,Anorith,III,Old Shrimp Pokémon,Rock,Bug,70,0.7,12.5,45,95,50,40,50,75,"Battle Armor, Swift Swim",,"This Pokémon was restored from a fossil. Anorith lived in the ocean about 100,000,000 years ago, hunting with its pair of claws."
348,Armaldo,III,Plate Pokémon,Rock,Bug,70,1.5,68.2,75,125,100,70,80,45,"Battle Armor, Swift Swim",Anorith,"After evolution, this Pokémon emerged onto land. Its lower body has become stronger, and blows from its tail are devastating."
349,Feebas,III,Fish Pokémon,Water,,70,0.6,7.4,20,15,20,10,55,80,"Swift Swim, Oblivious, Adaptability",,"Although unattractive and unpopular, this Pokémon’s marvelous vitality has made it a subject of research."
350,Milotic,III,Tender Pokémon,Water,,70,6.2,162.0,95,60,79,100,125,81,"Marvel Scale, Competitive, Cute Charm",Feebas,Milotic has provided inspiration to many artists. It has even been referred to as the most beautiful Pokémon of all.
351,Castform,III,Weather Pokémon,Normal,,70,0.3,0.8,70,70,70,70,70,70,Forecast,,It changes its form depending on the weather. Changes in the temperature or humidity appear to affect its cellular structure.
352,Kecleon,III,Color Swap Pokémon,Normal,,70,1.0,22.0,60,90,70,60,120,40,"Color Change, Protean",,"It can freely change its body’s color. The zigzag pattern on its belly doesn’t change, however."
353,Shuppet,III,Puppet Pokémon,Ghost,,35,0.6,2.3,44,75,35,63,33,45,"Insomnia, Frisk, Cursed Body",,It uses its horn to feed on envy and malice-- or so it’s said. It’s very active at night.
354,Banette,III,Marionette Pokémon,Ghost,,35,1.1,12.5,64,115,65,83,63,65,"Insomnia, Frisk, Cursed Body",Shuppet,A doll that became a Pokémon over its grudge from being junked. It seeks the child that disowned it.
355,Duskull,III,Requiem Pokémon,Ghost,,35,0.8,15.0,20,40,90,30,90,25,"Levitate, Frisk",,"If it finds bad children who won’t listen to their parents, it will spirit them away—or so it’s said."
356,Dusclops,III,Beckon Pokémon,Ghost,,35,1.6,30.6,40,70,130,60,130,25,"Pressure, Frisk",Duskull,"Its body is entirely hollow. When it opens its mouth, it sucks everything in as if it were a black hole."
357,Tropius,III,Fruit Pokémon,Grass,Flying,70,2.0,100.0,99,68,83,72,87,51,"Chlorophyll, Solar Power, Harvest",,"It flies by flapping its broad leaves and gives the sweet, delicious fruit around its neck to children."
358,Chimecho,III,Wind Chime Pokémon,Psychic,,70,0.6,1.0,75,50,80,95,90,65,Levitate,Chingling,It uses the sucker on its head to hang from a tree or from eaves. It can produce seven different tones.
359,Absol,III,Disaster Pokémon,Dark,,35,1.2,47.0,65,130,60,75,60,75,"Pressure, Super Luck, Justified",,"Swift as the wind, Absol races through fields and mountains. Its curved, bow-like horn is acutely sensitive to the warning signs of natural disasters."
360,Wynaut,III,Bright Pokémon,Psychic,,70,0.6,14.0,95,23,48,23,48,23,"Shadow Tag, Telepathy",,It tends to move in a pack. Individuals squash against one another to toughen their spirits.
361,Snorunt,III,Snow Hat Pokémon,Ice,,70,0.7,16.8,50,50,50,50,50,50,"Inner Focus, Ice Body, Moody",,"It’s said that if they are seen at midnight, they’ll cause heavy snow. They eat snow and ice to survive."
362,Glalie,III,Face Pokémon,Ice,,70,1.5,256.5,80,80,80,80,80,80,"Inner Focus, Ice Body, Moody",Snorunt,"It has a body of ice that won’t melt, even with fire. It can instantly freeze moisture in the atmosphere."
363,Spheal,III,Clap Pokémon,Ice,Water,70,0.8,39.5,70,40,50,55,50,25,"Thick Fat, Ice Body, Oblivious",,This Pokémon’s body is covered in blubber and impressively round. It’s faster for Spheal to roll around than walk.
364,Sealeo,III,Ball Roll Pokémon,Ice,Water,70,1.1,87.6,90,60,70,75,70,45,"Thick Fat, Ice Body, Oblivious",Spheal,"Sealeo live on top of drift ice. They go swimming when they’re on the hunt, seeking out their prey by scent."
365,Walrein,III,Ice Break Pokémon,Ice,Water,70,1.4,150.6,110,80,90,95,90,65,"Thick Fat, Ice Body, Oblivious",Sealeo,"Walrein form herds of 20 to 30 individuals. When a threat appears, the herd’s leader will protect the group with its life."
366,Clamperl,III,Bivalve Pokémon,Water,,70,0.4,52.5,35,64,85,74,55,32,"Shell Armor, Rattled",,"When it evolves, it makes a mysterious pearl that amplifies psychic powers when it’s held."
367,Huntail,III,Deep Sea Pokémon,Water,,70,1.7,27.0,55,104,105,94,75,52,"Swift Swim, Water Veil",Clamperl,It lives deep in the sea where no light ever filters down. It lights up its small fishlike tail to attract prey.
368,Gorebyss,III,South Sea Pokémon,Water,,70,1.8,22.6,55,84,105,114,75,52,"Swift Swim, Hydration",Clamperl,"It lives at the bottom of the sea. In the springtime, its pink body turns more vivid for some reason."
369,Relicanth,III,Longevity Pokémon,Water,Rock,70,1.0,23.4,100,90,130,45,65,55,"Swift Swim, Rock Head, Sturdy",,Rock-hard scales and oil-filled swim bladders allow this Pokémon to survive the intense water pressure of the deep sea.
370,Luvdisc,III,Rendezvous Pokémon,Water,,70,0.6,8.7,43,30,55,40,65,97,"Swift Swim, Hydration",,"If a Luvdisc is left on its own, it becomes despondent, leaving itself open to attack. That is when Pelipper snatch them up."
371,Bagon,III,Rock Head Pokémon,Dragon,,35,0.6,42.1,45,75,60,40,30,50,"Rock Head, Sheer Force",,"Bagon jumps off cliffs every day, trying to grow stronger so that someday it will be able to fly."
372,Shelgon,III,Endurance Pokémon,Dragon,,35,1.1,110.5,65,95,100,60,50,50,"Rock Head, Overcoat",Bagon,This Pokémon has covered its body in a hard shell that has the same composition as bone. Shelgon stores energy for evolution.
373,Salamence,III,Dragon Pokémon,Dragon,Flying,35,1.5,102.6,95,135,80,110,80,100,"Intimidate, Moxie",Shelgon,Salamence is an unusual Pokémon in that it was able to evolve a body with wings just by constantly wishing to be able to fly.
374,Beldum,III,Iron Ball Pokémon,Steel,Psychic,35,0.6,95.2,40,55,80,35,60,30,"Clear Body, Light Metal",,"From its rear, Beldum emits a magnetic force that rapidly pulls opponents in. They get skewered on Beldum’s sharp claws."
375,Metang,III,Iron Claw Pokémon,Steel,Psychic,35,1.2,202.5,60,75,100,55,80,50,"Clear Body, Light Metal",Beldum,"Two Beldum have become stuck together via their own magnetic forces. With two brains, the resulting Metang has doubled psychic powers."
376,Metagross,III,Iron Leg Pokémon,Steel,Psychic,35,1.6,550.0,80,135,130,95,90,70,"Clear Body, Light Metal",Metang,"Because the magnetic powers of these Pokémon get stronger in freezing temperatures, Metagross living on snowy mountains are full of energy."
377,Regirock,III,Rock Peak Pokémon,Rock,,35,1.7,230.0,80,100,200,50,100,50,"Clear Body, Sturdy",,"Every bit of Regirock’s body is made of stone. As parts of its body erode, this Pokémon sticks rocks to itself to repair what’s been lost."
378,Regice,III,Iceberg Pokémon,Ice,,35,1.8,175.0,80,50,100,100,200,50,"Clear Body, Ice Body",,"With cold air that can reach temperatures as low as −328 degrees Fahrenheit, Regice instantly freezes any creature that approaches it."
379,Registeel,III,Iron Pokémon,Steel,,35,1.9,205.0,80,75,150,75,150,50,"Clear Body, Light Metal",,Registeel’s body is made of a strange material that is flexible enough to stretch and shrink but also more durable than any metal.
380,Latias,III,Eon Pokémon,Dragon,Psychic,90,1.4,40.0,80,80,90,110,130,110,Levitate,,It communicates using telepathy. Its body is covered in down that refracts light to make it invisible.
381,Latios,III,Eon Pokémon,Dragon,Psychic,90,2.0,60.0,80,90,80,130,110,110,Levitate,,"A highly intelligent Pokémon. By folding back its wings in flight, it can overtake jet planes."
382,Kyogre,III,Sea Basin Pokémon,Water,,0,4.5,352.0,100,100,90,150,140,90,Drizzle,,A mythical Pokémon said to have swelled the seas with rain and tidal waves. It battled with Groudon.
383,Groudon,III,Continent Pokémon,Ground,,0,3.5,950.0,100,150,140,100,90,90,Drought,,Said to have expanded the lands by evaporating water with raging heat. It battled titanically with Kyogre.
384,Rayquaza,III,Sky High Pokémon,Dragon,Flying,0,7.0,206.5,105,150,90,150,90,95,Air Lock,,It lives in the ozone layer far above the clouds and cannot be seen from the ground.
385,Jirachi,III,Wish Pokémon,Steel,Psychic,100,0.3,1.1,100,100,100,100,100,100,Serene Grace,,"Once every 1,000 years, the singing of a pure voice will rouse this Pokémon from its near- perpetual slumber. It wakes for only seven days."
386,Deoxys Normal,III,DNA Pokémon,Psychic,,0,1.7,60.8,50,150,50,150,50,150,Pressure,,An alien virus that fell to earth on a meteor underwent a DNA mutation to become this Pokémon.
387,Turtwig,IV,Tiny Leaf Pokémon,Grass,,70,0.4,10.2,55,68,64,45,55,31,"Overgrow, Shell Armor",,Photosynthesis occurs across its body under the sun. The shell on its back is actually hardened soil.
388,Grotle,IV,Grove Pokémon,Grass,,70,1.1,97.0,75,89,85,55,65,36,"Overgrow, Shell Armor",Turtwig,"It lives along water in forests. In the daytime, it leaves the forest to sunbathe its treed shell."
389,Torterra,IV,Continent Pokémon,Grass,Ground,70,2.2,310.0,95,109,105,75,85,56,"Overgrow, Shell Armor",Grotle,"Ancient people imagined that beneath the ground, a gigantic Torterra dwelled."
390,Chimchar,IV,Chimp Pokémon,Fire,,70,0.5,6.2,44,58,44,58,44,61,"Blaze, Iron Fist",,Its fiery rear end is fueled by gas made in its belly. Even rain can’t extinguish the fire.
391,Monferno,IV,Playful Pokémon,Fire,Fighting,70,0.9,22.0,64,78,52,78,52,81,"Blaze, Iron Fist",Chimchar,It skillfully controls the intensity of the fire on its tail to keep its foes at an ideal distance.
392,Infernape,IV,Flame Pokémon,Fire,Fighting,70,1.2,55.0,76,104,71,104,71,108,"Blaze, Iron Fist",Monferno,Its crown of fire is indicative of its fiery nature. It is beaten by none in terms of quickness.
393,Piplup,IV,Penguin Pokémon,Water,,70,0.4,5.2,53,51,53,61,56,40,"Torrent, Competitive",,It doesn’t like to be taken care of. It’s difficult to bond with since it won’t listen to its Trainer.
394,Prinplup,IV,Penguin Pokémon,Water,,70,0.8,23.0,64,66,68,81,76,50,"Torrent, Competitive",Piplup,"It lives alone, away from others. Apparently, every one of them believes it is the most important."
395,Empoleon,IV,Emperor Pokémon,Water,Steel,70,1.7,84.5,84,86,88,111,101,60,"Torrent, Competitive",Prinplup,It swims as fast as a jet boat. The edges of its wings are sharp and can slice apart drifting ice.
396,Starly,IV,Starling Pokémon,Normal,Flying,70,0.3,2.0,40,55,30,30,30,60,"Keen Eye, Reckless",,"They flock in great numbers. Though small, they flap their wings with great power."
397,Staravia,IV,Starling Pokémon,Normal,Flying,70,0.6,15.5,55,75,50,40,40,80,"Intimidate, Reckless",Starly,"They maintain huge flocks, although fierce scuffles break out between various flocks."
398,Staraptor,IV,Predator Pokémon,Normal,Flying,70,1.2,24.9,85,120,70,50,60,100,"Intimidate, Reckless",Staravia,The muscles in its wings and legs are strong. It can easily fly while gripping a small Pokémon.
399,Bidoof,IV,Plump Mouse Pokémon,Normal,,70,0.5,20.0,59,45,40,35,40,31,"Simple, Unaware, Moody",,"With nerves of steel, nothing can perturb it. It is more agile and active than it appears."
400,Bibarel,IV,Beaver Pokémon,Normal,Water,70,1.0,31.5,79,85,60,55,60,71,"Simple, Unaware, Moody",Bidoof,It busily makes its nest with stacks of branches and roots it has cut up with its sharp incisors.
401,Kricketot,IV,Cricket Pokémon,Bug,,70,0.3,2.2,37,25,41,25,41,25,"Shed Skin, Run Away",,It chats with others using the sounds of its colliding antennae. These sounds are fall hallmarks.
402,Kricketune,IV,Cricket Pokémon,Bug,,70,1.0,25.5,77,85,51,55,51,65,"Swarm, Technician",Kricketot,It crosses its knifelike arms in front of its chest when it cries. It can compose melodies ad lib.
403,Shinx,IV,Flash Pokémon,Electric,,70,0.5,9.5,45,65,34,40,34,45,"Rivalry, Intimidate, Guts",,This Pokémon generates electricity by contracting its muscles. Excited trembling is a sign that Shinx is generating a tremendous amount of electricity.
404,Luxio,IV,Spark Pokémon,Electric,,100,0.9,30.5,60,85,49,60,49,60,"Rivalry, Intimidate, Guts",Shinx,"By joining its tail with that of another Luxio, this Pokémon can receive some of the other Luxio’s electricity and power up its own electric blasts."
405,Luxray,IV,Gleam Eyes Pokémon,Electric,,70,1.4,42.0,80,120,79,95,79,70,"Rivalry, Intimidate, Guts",Luxio,"Luxray can see through solid objects. It will instantly spot prey trying to hide behind walls, even if the walls are thick."
406,Budew,IV,Bud Pokémon,Grass,Poison,70,0.2,1.2,40,30,35,50,70,55,"Natural Cure, Poison Point, Leaf Guard",,"The pollen it releases contains poison. If this Pokémon is raised on clean water, the poison’s toxicity is increased."
407,Roserade,IV,Bouquet Pokémon,Grass,Poison,70,0.9,14.5,60,70,65,125,105,90,"Natural Cure, Poison Point, Technician",Roselia,"After captivating opponents with its sweet scent, it lashes them with its thorny whips."
408,Cranidos,IV,Head Butt Pokémon,Rock,,70,0.9,31.5,67,125,40,30,30,58,"Mold Breaker, Sheer Force",,It lived in jungles around a hundred million years ago. It used its skillful headbutts to combat Aerodactyl.
409,Rampardos,IV,Head Butt Pokémon,Rock,,70,1.6,102.5,97,165,60,65,50,58,"Mold Breaker, Sheer Force",Cranidos,"The result of repeated headbutts is a skull grown thick and hard. However, its brain has shrunk in size compared with Cranidos’s."
